Object_Name,first_score,last_score,iterations,result
011_banana.obj,355.5033676,358.1384693,2,SUCCESS
011_banana.obj,354.3538836,356.3703443,2,SUCCESS
011_banana.obj,343.1005828,354.8963421,2,SUCCESS
011_banana.obj,349.4235476,353.3043055,2,SUCCESS
011_banana.obj,351.1608109,352.1539712,2,SUCCESS
011_banana.obj,350.8775579,352.1395255,2,SUCCESS
011_banana.obj,349.7859857,351.9015552,2,SUCCESS
011_banana.obj,351.6652523,351.6652523,1,SUCCESS
011_banana.obj,347.993411,349.4516459,2,SUCCESS
011_banana.obj,349.0942435,349.0942435,1,SUCCESS
011_banana.obj,348.7812666,348.7812666,1,SUCCESS
011_banana.obj,348.758984,348.758984,1,SUCCESS
011_banana.obj,337.2174812,348.3995137,2,SUCCESS
011_banana.obj,345.0868859,347.7740834,2,SUCCESS
011_banana.obj,339.6600697,347.4272519,2,SUCCESS
011_banana.obj,343.595025,347.2273326,2,SUCCESS
011_banana.obj,307.7772761,346.7829987,3,SUCCESS
011_banana.obj,334.701858,346.4113874,2,SUCCESS
011_banana.obj,346.1858616,346.1858616,1,SUCCESS
011_banana.obj,342.7745474,346.096742,2,SUCCESS
011_banana.obj,339.5946168,345.7144996,3,SUCCESS
011_banana.obj,322.1123126,345.6377797,3,SUCCESS
011_banana.obj,344.4792263,345.4382935,2,SUCCESS
011_banana.obj,345.2694107,345.2694107,1,SUCCESS
011_banana.obj,344.8064512,344.8064512,1,SUCCESS
011_banana.obj,302.0373882,344.7382301,4,SUCCESS
011_banana.obj,341.079961,344.6422913,2,SUCCESS
011_banana.obj,343.1993746,344.5484987,2,SUCCESS
011_banana.obj,330.998736,343.9461715,2,SUCCESS
011_banana.obj,333.0978342,343.5415149,3,SUCCESS
011_banana.obj,343.4164291,343.4164291,1,SUCCESS
011_banana.obj,339.1983003,343.2341646,2,SUCCESS
011_banana.obj,343.1486006,343.1486006,1,SUCCESS
011_banana.obj,342.486286,342.7389882,2,SUCCESS
011_banana.obj,329.3693857,342.7386467,2,SUCCESS
