Object_Name,first_score,last_score,iterations,result
002_master_chef_can.obj,358.3355887,358.3355887,1,SUCCESS
002_master_chef_can.obj,335.7261699,335.7261699,3,SUCCESS
002_master_chef_can.obj,356.6781527,356.6781527,1,SUCCESS
002_master_chef_can.obj,355.9821301,355.9821301,1,SUCCESS
002_master_chef_can.obj,355.5157276,355.5157276,1,SUCCESS
002_master_chef_can.obj,349.4200229,349.4200229,2,SUCCESS
002_master_chef_can.obj,349.2787841,349.2787841,2,SUCCESS
002_master_chef_can.obj,353.2929492,353.2929492,1,SUCCESS
002_master_chef_can.obj,353.2775551,353.2775551,1,SUCCESS
002_master_chef_can.obj,353.1888785,353.1888785,1,SUCCESS
002_master_chef_can.obj,353.056841,353.056841,1,SUCCESS
002_master_chef_can.obj,353.0153462,353.0153462,1,SUCCESS
002_master_chef_can.obj,352.5878808,352.5878808,1,SUCCESS
002_master_chef_can.obj,352.499431,352.499431,1,SUCCESS
002_master_chef_can.obj,352.0803416,352.0803416,1,SUCCESS
002_master_chef_can.obj,349.7746936,349.7746936,2,SUCCESS
002_master_chef_can.obj,351.7229788,351.7229788,1,SUCCESS
002_master_chef_can.obj,351.6218068,351.6218068,1,SUCCESS
002_master_chef_can.obj,351.4311753,351.4311753,1,SUCCESS
002_master_chef_can.obj,351.3745333,351.3745333,1,SUCCESS
002_master_chef_can.obj,340.1440174,340.1440174,2,SUCCESS
002_master_chef_can.obj,351.0763689,351.0763689,1,SUCCESS
002_master_chef_can.obj,349.5499895,349.5499895,2,SUCCESS
002_master_chef_can.obj,348.1985518,348.1985518,2,SUCCESS
002_master_chef_can.obj,350.8359717,350.8359717,1,SUCCESS
002_master_chef_can.obj,349.9060998,349.9060998,2,SUCCESS
002_master_chef_can.obj,350.4092501,350.4092501,1,SUCCESS
002_master_chef_can.obj,350.3250851,350.3250851,1,SUCCESS
002_master_chef_can.obj,342.744492,342.744492,2,SUCCESS
002_master_chef_can.obj,350.199927,350.199927,1,SUCCESS
002_master_chef_can.obj,350.1718953,350.1718953,1,SUCCESS
002_master_chef_can.obj,347.8809178,347.8809178,2,SUCCESS
002_master_chef_can.obj,349.5905728,349.5905728,1,SUCCESS
002_master_chef_can.obj,346.0559623,346.0559623,2,SUCCESS
002_master_chef_can.obj,349.1985851,349.1985851,1,SUCCESS
002_master_chef_can.obj,343.6908101,343.6908101,2,SUCCESS
002_master_chef_can.obj,349.0471736,349.0471736,1,SUCCESS
002_master_chef_can.obj,346.5848919,346.5848919,2,SUCCESS
002_master_chef_can.obj,347.6589285,347.6589285,2,SUCCESS
002_master_chef_can.obj,348.2599983,348.2599983,2,SUCCESS
002_master_chef_can.obj,348.0388246,348.0388246,2,SUCCESS
002_master_chef_can.obj,344.0349687,344.0349687,2,SUCCESS
002_master_chef_can.obj,348.4205755,348.4205755,2,SUCCESS
002_master_chef_can.obj,346.4358667,346.4358667,2,SUCCESS
