Object_Name,first_score,last_score,iterations,result
057_racquetball.obj,[260.26861195],[260.40412893],2,FAILURE
057_racquetball.obj,[267.05939111],[267.06515604],2,FAILURE
057_racquetball.obj,[240.99959331],[241.01622852],2,FAILURE
057_racquetball.obj,[219.00290793],[219.0094728],2,FAILURE
057_racquetball.obj,[347.27220423],[347.27220423],1,SUCCESS
057_racquetball.obj,[303.73523218],[303.73523218],1,FAILURE
057_racquetball.obj,[295.79440993],[295.80042097],2,FAILURE
057_racquetball.obj,[255.60513485],[255.61476191],2,FAILURE
057_racquetball.obj,[294.19100185],[294.19610066],2,FAILURE
057_racquetball.obj,[304.05874936],[304.52656007],2,FAILURE
057_racquetball.obj,[222.30137853],[222.34018608],2,FAILURE
057_racquetball.obj,[249.94804602],[249.94804602],1,FAILURE
057_racquetball.obj,[319.81435324],[319.85279134],2,FAILURE
057_racquetball.obj,[214.62396074],[214.62396074],1,FAILURE
057_racquetball.obj,[296.140142],[296.140142],1,FAILURE
057_racquetball.obj,[224.30009566],[224.30009566],1,FAILURE
057_racquetball.obj,[262.0243727],[262.03364477],2,FAILURE
057_racquetball.obj,[343.37907395],[343.37907395],1,SUCCESS
057_racquetball.obj,[264.91155343],[265.40701532],2,FAILURE
057_racquetball.obj,[276.35588864],[276.77708978],2,FAILURE
057_racquetball.obj,[252.34732837],[252.34732837],1,FAILURE
057_racquetball.obj,[213.58007146],[213.58007146],1,FAILURE
057_racquetball.obj,[297.85546035],[297.85546035],1,FAILURE
057_racquetball.obj,[207.89373342],[207.94355734],2,FAILURE
057_racquetball.obj,[253.17346092],[253.4985003],2,FAILURE
057_racquetball.obj,[211.82632868],[211.82632868],1,FAILURE
057_racquetball.obj,[284.7007732],[284.72741822],2,FAILURE
057_racquetball.obj,[282.41756059],[282.82605064],2,FAILURE
057_racquetball.obj,[278.18492177],[278.18492177],1,FAILURE
057_racquetball.obj,[237.18127768],[237.18127768],1,FAILURE
057_racquetball.obj,[314.13843285],[314.13843285],1,FAILURE
057_racquetball.obj,[348.35024547],[348.35024547],1,SUCCESS
057_racquetball.obj,[311.4373904],[312.00560495],2,FAILURE
057_racquetball.obj,[232.60518442],[232.60518442],1,FAILURE
